Education_Level,Years_of_Experience,Job_Title,Location,Industry,Salary
Master's,5.174094136476342,ML Engineer,Austin,Finance,64255
PhD,4.401985299068265,ML Engineer,San Francisco,Healthcare,81193
High School,5.183521553071005,Web Developer,Austin,Tech,67487
Master's,1.0248621707982144,Data Scientist,New York,Tech,57344
Master's,4.560656224324976,Software Engineer,New York,Education,103523
PhD,5.7142251430234925,ML Engineer,San Francisco,Healthcare,123188
High School,7.955788089483033,ML Engineer,Seattle,Healthcare,57028
High School,3.9634595634527052,ML Engineer,San Francisco,Healthcare,96259
Master's,3.3830127942136246,Web Developer,San Francisco,Healthcare,71987
Bachelor's,3.996485912830927,ML Engineer,Seattle,Tech,75257
Master's,6.830804235404148,ML Engineer,Seattle,Tech,73152
Master's,5.657502219319369,ML Engineer,Seattle,Finance,67720
Master's,3.9404795924659224,Data Scientist,New York,Finance,85970
Master's,6.026534866226712,Web Developer,Austin,Healthcare,68380
PhD,5.194155098696081,ML Engineer,New York,Healthcare,90409
High School,6.937289981065779,Software Engineer,Austin,Healthcare,83995
PhD,3.5958938122452953,Software Engineer,New York,Finance,80221
PhD,4.3446757068044635,Software Engineer,Austin,Education,66848
PhD,4.215783693735685,Web Developer,New York,Education,73464
Master's,2.072970103735763,Web Developer,Seattle,Finance,100107
Bachelor's,5.592240554129152,Software Engineer,San Francisco,Finance,95018
High School,5.522110544359778,ML Engineer,New York,Finance,65448
Bachelor's,5.010226913284922,Web Developer,Austin,Finance,86986
PhD,4.530825733249706,Software Engineer,Seattle,Finance,100027
PhD,2.1692585158991715,Software Engineer,New York,Finance,51611
Bachelor's,4.158709354469282,ML Engineer,New York,Healthcare,95867
Bachelor's,4.314570966946461,Data Scientist,Seattle,Healthcare,71747
Bachelor's,3.395445461556762,Web Developer,New York,Healthcare,96411
PhD,4.677428576667982,ML Engineer,San Francisco,Healthcare,69734
PhD,5.8081017136290765,Software Engineer,New York,Finance,48902
High School,8.77237180242106,Software Engineer,San Francisco,Education,52449
High School,5.349155625663678,ML Engineer,San Francisco,Tech,85961
PhD,5.515100781445529,Web Developer,Seattle,Finance,90194
Bachelor's,4.851108168467666,Data Scientist,New York,Tech,66913
